model,accuracy,precision,recall,f1,kappa
KNeighborsClassifier,0.6278195488721805,0.4035862765668104,0.41309216192937126,0.40801301005322294,0.22356232136703635
DecisionTreeClassifier,0.6353383458646616,0.4674867792857942,0.47327196382428943,0.46989789228745954,0.2725491405362067
GradientBoostingClassifier,0.75,0.49529190207156315,0.4999138673557278,0.49656633482050677,0.47429853596198923
RandomForestClassifier,0.7612781954887218,0.501222367248845,0.5109388458225667,0.5056542466057604,0.5011812651349595
AdaBoostClassifier,0.6785714285714286,0.4487417491749175,0.46477174849267877,0.45538084502457926,0.35882156009373944
