model,accuracy,precision,recall,f1,kappa
KNeighborsClassifier,0.5955882352941176,0.3986194683869102,0.4018633082928266,0.3984655544206106,0.20038484152012404
DecisionTreeClassifier,0.6323529411764706,0.433048433048433,0.4226690234202386,0.42768328777987064,0.284172851202695
GradientBoostingClassifier,0.7205882352941176,0.48887759710930445,0.4835395492708794,0.4861929359207036,0.4516419969229136
RandomForestClassifier,0.7426470588235294,0.49418773612322003,0.49764324642804536,0.49590373783922176,0.48540540540540544
AdaBoostClassifier,0.7095588235294118,0.49095321296835565,0.48479157460598027,0.473886180653098,0.43683824300241114
