model,accuracy,precision,recall,f1,kappa
KNeighborsClassifier,0.6406052963430012,0.4069795303621551,0.41353746271275665,0.4093091502432313,0.22765283421217197
DecisionTreeClassifier,0.639344262295082,0.44094602379959075,0.44075662057840465,0.44026245436903744,0.2810471190910935
GradientBoostingClassifier,0.7263556116015133,0.4764453988065503,0.47734007915618726,0.4755095468138946,0.41260863331945186
RandomForestClassifier,0.7313997477931904,0.47934486862848774,0.4847439121873233,0.48148074117012135,0.42927279239341243
AdaBoostClassifier,0.6633039092055486,0.4786096978974382,0.4546723172893286,0.4577576487156692,0.3011394017810579
