model,accuracy,precision,recall,f1,kappa
KNeighborsClassifier(),0.6406052963430012,0.6150786158513197,0.6406052963430012,0.6264016799169024,0.22765283421217197
DecisionTreeClassifier(),0.6418663303909206,0.6539415593276708,0.6418663303909206,0.6476278190277113,0.2880067781178077
GradientBoostingClassifier(),0.7276166456494325,0.7055894082789207,0.7276166456494325,0.7145262581378212,0.41488809335118737
RandomForestClassifier(),0.7288776796973518,0.7080419982121188,0.7288776796973518,0.7178130764826531,0.42557528385162235
AdaBoostClassifier(),0.6633039092055486,0.652945534468425,0.6633039092055486,0.6572876337079177,0.3011394017810579
