model,accuracy,precision,recall,f1,kappa
KNeighborsClassifier,0.5955882352941176,0.3986194683869102,0.4018633082928266,0.3984655544206106,0.20038484152012404
DecisionTreeClassifier,0.6507352941176471,0.4425925925925926,0.43651495065547213,0.4394405594405595,0.3183496887200591
GradientBoostingClassifier,0.7205882352941176,0.48887759710930445,0.4835395492708794,0.4861929359207036,0.4516419969229136
RandomForestClassifier,0.7389705882352942,0.49170068027210884,0.4953601414052143,0.4935235823841441,0.4783642158716439
AdaBoostClassifier,0.7095588235294118,0.49095321296835565,0.48479157460598027,0.473886180653098,0.43683824300241114
