model,accuracy,precision,recall,f1,kappa
KNeighborsClassifier(),0.6024436090225563,0.5779363254489426,0.6024436090225563,0.5876580411516358,0.1494595207498678
DecisionTreeClassifier(),0.6353383458646616,0.6437660280031527,0.6353383458646616,0.6386140325778282,0.2783565705016152
GradientBoostingClassifier(),0.7340225563909775,0.7156979304662222,0.7340225563909775,0.72397919171154,0.44099803215386335
RandomForestClassifier(),0.7518796992481203,0.7313056600276723,0.7518796992481203,0.740459726443769,0.47595985224431925
AdaBoostClassifier(),0.6879699248120301,0.6822453646113262,0.6879699248120301,0.6849919362322822,0.3657569663889687
